Model,Training Time,Training Loss,Training Accuracy,Testing Accuracy,Number of Parameters
VGG1,29.466614246368408,0.004396285582333803,100.0,75.0,67110017
VGG3_no_aug,31.69707417488098,0.26843238472938535,91.25,72.5,16870721
VGG3_aug,42.7878999710083,0.404127499461174,84.375,75.0,16870721
VGG16_all_layers,83.7542576789856,0.0005540621015825309,100.0,97.5,134264641
VGG16_mlp,50.978302240371704,0.010803495347499848,100.0,97.5,119549953
MLP,27.879772186279297,0.6933160543441772,50.0,50.0,165384253
